Legacy File,Module,Converted?,Laravel Controller,Blade View,Route Exists?,Status,Priority,Notes
includes/account_setting_sidebar.php,Infrastructure,NO,Component needed,N/A,NO,NOT CONVERTED,LOW,Settings sidebar
includes/exam_setting_sidebar.php,Infrastructure,NO,Component needed,N/A,NO,NOT CONVERTED,LOW,Exam sidebar
includes/fees_setting_sidebar.php,Infrastructure,NO,Component needed,N/A,NO,NOT CONVERTED,LOW,Fees sidebar
includes/library_setting_sidebar.php,Infrastructure,NO,Component needed,N/A,NO,NOT CONVERTED,LOW,Library sidebar
includes/school_setting_sidebar.php,Infrastructure,NO,Component needed,N/A,NO,NOT CONVERTED,LOW,School sidebar
includes/staff_setting_sidebar.php,Infrastructure,NO,Component needed,N/A,NO,NOT CONVERTED,LOW,Staff sidebar
includes/transport_setting_sidebar.php,Infrastructure,NO,Component needed,N/A,NO,NOT CONVERTED,LOW,Transport sidebar
css/add_student_fees.php,CSS,NO,Use CSS files,N/A,NO,INCORRECT FILE,DELETE,PHP in CSS folder - error
css/add_term.php,CSS,NO,Use CSS files,N/A,NO,INCORRECT FILE,DELETE,PHP in CSS folder - error
css/fees_searchby_name.php,CSS,NO,Use CSS files,N/A,NO,INCORRECT FILE,DELETE,PHP in CSS folder - error
config/config.inc.php,Config,REPLACED,.env & config/,N/A,YES,REPLACED,DONE,Use Laravel config
db_connect.php,Database,REPLACED,Laravel database.php,N/A,YES,REPLACED,DONE,Use Laravel DB
